MP_xG,MP_mins,MP_goals,Sh,Age,Min,Pos,SoT_G-xG,SoT_G/SoT,Subs_xG±,Subs_Mn/Sub,Subs_on/off_±,Subs_Subs_count,Nation,Player,Starts
2.4,4418,4,30,26,4418,DF,-0.4,0.36,1.13,21,1.71,3,FRA,Jules Koundé,50
22.6,4316,32,179,28,4316,"FW,MF",6.4,0.42,1.17,35,1.75,4,BRA,Raphinha,49
2.6,4313,6,38,22,4313,MF,1.4,0.4,1.15,24,1.61,3,ESP,Pedri,52
12.9,4172,15,197,17,4172,FW,-1.9,0.21,1.43,41,1.96,4,ESP,Lamine Yamal,47
0.9,3930,1,11,18,3930,DF,-0.9,0.5,1.09,27,1.67,7,ESP,Pau Cubarsí,45
1.2,3787,3,18,33,3787,DF,0.8,0.6,1.36,45,1.76,1,ESP,Iñigo Martínez,43
34.8,3680,40,142,36,3680,FW,1.2,0.53,1.15,25,1.66,5,POL,Robert Lewandowski,44
0.7,3280,1,18,21,3280,DF,-0.7,0.2,1.25,18,1.84,4,ESP,Alejandro Balde,39
0.0,2545,0,0,35,2545,GK,0.0,0.0,1.11,0,1.77,0,POL,Wojciech Szczęsny,28
1.4,2443,1,20,21,2443,MF,-0.4,0.5,1.29,16,1.92,7,ESP,Marc Casado,29
1.6,2264,2,9,27,2264,MF,0.4,0.5,1.22,26,1.95,21,NED,Frenkie de Jong,21
0.0,1878,0,0,26,1878,GK,0.0,0.0,1.28,39,1.58,2,ESP,Iñaki Peña,20
10.1,1845,19,70,25,1845,FW,2.9,0.53,0.99,21,1.51,26,ESP,Ferrán Torres,18
6.6,1831,6,56,21,1831,"MF,FW",-1.6,0.27,1.14,27,1.57,25,ESP,Fermin López,17
2.9,1789,4,19,24,1789,"DF,MF",0.1,0.4,1.57,22,2.16,26,ESP,Eric García,15
7.9,1742,11,63,27,1742,MF,3.1,0.4,1.5,29,1.86,15,ESP,Dani Olmo,20
0.4,1649,1,6,23,1649,DF,0.6,1.0,1.12,15,1.64,22,ESP,Gerard Martín,16
1.0,1501,3,15,20,1501,MF,0.0,0.75,1.14,16,1.32,20,ESP,Gavi,18
1.4,1449,2,11,26,1449,DF,0.6,0.4,0.78,38,1.43,8,URU,Ronald Araújo,15
0.0,674,0,0,33,674,GK,0.0,0.0,1.3,0,1.87,0,GER,Marc-André ter Stegen,8
0.2,603,0,8,18,603,DF,-0.2,0.0,1.38,19,1.19,12,ESP,Héctor Fort,5
0.8,425,4,8,22,425,"FW,MF",2.2,0.8,0.68,14,1.91,9,ESP,Pablo Torre,5
3.0,378,2,16,23,378,FW,-1.0,0.22,2.18,10,1.9,25,ESP,Pau Victor Delgado,2
1.0,303,0,16,22,303,"FW,MF",-1.0,0.0,1.49,15,1.19,8,ESP,Ansu Fati,3
0.1,242,0,2,17,242,MF,-0.1,0.0,1.39,0,1.12,0,ESP,Marc Bernal,3
0.0,236,0,1,20,236,"DF,FW",0.0,0.0,0.1,24,1.53,4,ESP,Sergi Dominguez,2
0.0,125,0,0,29,125,DF,0.0,0.0,1.34,18,0.72,2,DEN,Andreas Christensen,1
0.0,37,0,2,19,37,FW,0.0,0.0,0.68,0,-2.43,0,ESP,Daniel Rodriguez,1
0.0,10,0,0,16,10,MF,0.0,0.0,0.0,10,0.0,1,ESP,Toni Fernández,0
0.0,7,0,0,17,7,DF,0.0,0.0,-3.25,7,0.0,1,ESP,Andres Cuenca,0
0.0,0,0,0,19,0,GK,0.0,0.0,0.0,0,0.0,0,USA,Diego Kochen,0
0.0,0,0,0,21,0,GK,0.0,0.0,0.0,0,0.0,0,ESP,Ander Astralaga,0
0.0,0,0,0,16,0,MF,0.0,0.0,0.0,0,0.0,0,ESP,Guillermo Fernandez,0
0.0,0,0,0,18,0,DF,0.0,0.0,0.0,0,0.0,0,ESP,Landry Farré,0
0.0,0,0,0,19,0,GK,0.0,0.0,0.0,0,0.0,0,HUN,Áron Yaakobishvili,0
0.0,0,0,0,21,0,DF,0.0,0.0,0.0,0,0.0,0,ESP,Álex Valle,0
0.0,0,0,0,19,0,DF,0.0,0.0,0.0,0,0.0,0,ESP,Alexis Olmedo,0
0.0,0,0,0,18,0,MF,0.0,0.0,0.0,0,0.0,0,GER,Noah Darvich,0
0.0,0,0,0,19,0,DF,0.0,0.0,0.0,0,0.0,0,ESP,Álvaro Cortés,0
