rk,xg,comp,date,gca1,gca2,psxg,notes,round,score,start,type1,type2,assist,minute,scorer,distance,opponent,body_part
1,0.87,La Liga,2024-08-17,Lamine Yamal,,0.99,,Matchweek 1,0-1,Y,Shot,,Lamine Yamal,45,Robert Lewandowski,3,Valencia,Right Foot
2,0.79,La Liga,2024-08-17,Raphinha,Ferrán Torres,0.98,,Matchweek 1,1-1,Y,Fouled,Pass (Live),,49,Robert Lewandowski,13,Valencia,Right Foot
3,0.02,La Liga,2024-08-24,Alejandro Balde,Iñigo Martínez,0.43,Deflected,Matchweek 2,0-0,Y,Fouled,Pass (Live),,24,Lamine Yamal,28,Athletic Club,Left Foot
4,0.25,La Liga,2024-08-24,Raphinha,Alejandro Balde,0.94,,Matchweek 2,1-1,Y,Pass (Live),Pass (Live),,75,Robert Lewandowski,13,Athletic Club,Left Foot
5,0.29,La Liga,2024-08-27,Raphinha,Pedri,0.69,,Matchweek 3,0-1,Y,Pass (Live),Pass (Live),Raphinha,60,Pedri,12,Rayo Vallecano,Left Foot
6,0.12,La Liga,2024-08-27,Lamine Yamal,Lamine Yamal,0.86,,Matchweek 3,1-1,N,Pass (Live),Take-On,Lamine Yamal,82,Dani Olmo,12,Rayo Vallecano,Left Foot
7,0.4,La Liga,2024-08-31,Pau Cubarsí,Pedri,0.89,,Matchweek 4,0-0,Y,Pass (Live),Pass (Live),Pau Cubarsí,20,Raphinha,10,Valladolid,Left Foot
8,0.41,La Liga,2024-08-31,Lamine Yamal,Pau Cubarsí,0.11,,Matchweek 4,1-0,Y,Pass (Live),Pass (Live),Lamine Yamal,24,Robert Lewandowski,15,Valladolid,Left Foot
9,0.09,La Liga,2024-08-31,Pau Cubarsí,,0.79,,Matchweek 4,2-0,Y,Shot,,,45,Jules Koundé,11,Valladolid,Right Foot
10,0.56,La Liga,2024-08-31,,,0.65,,Matchweek 4,3-0,Y,,,Robert Lewandowski,64,Raphinha,4,Valladolid,Left Foot
11,0.64,La Liga,2024-08-31,Lamine Yamal,,0.56,,Matchweek 4,4-0,Y,Pass (Live),,Lamine Yamal,72,Raphinha,10,Valladolid,Left Foot
12,0.17,La Liga,2024-08-31,Dani Olmo,Dani Olmo,0.25,,Matchweek 4,5-0,Y,Take-On,Take-On,Ferrán Torres,82,Dani Olmo,8,Valladolid,Right Foot
13,0.25,La Liga,2024-08-31,Raphinha,Alejandro Balde,0.35,,Matchweek 4,6-0,N,Pass (Live),Pass (Live),Raphinha,85,Ferrán Torres,10,Valladolid,Right Foot
14,0.53,La Liga,2024-09-15,,,0.64,,Matchweek 5,0-0,Y,,,,30,Lamine Yamal,11,Girona,Left Foot
15,0.06,La Liga,2024-09-15,Raphinha,Alejandro Balde,0.72,,Matchweek 5,1-0,Y,Pass (Dead),Fouled,Robert Lewandowski,37,Lamine Yamal,18,Girona,Left Foot
16,0.01,La Liga,2024-09-15,Jules Koundé,Pau Cubarsí,0.06,Volley,Matchweek 5,2-0,Y,Pass (Live),Pass (Live),Jules Koundé,47,Dani Olmo,12,Girona,Right Foot
17,0.21,La Liga,2024-09-15,Marc Casado,Raphinha,0.53,,Matchweek 5,3-0,Y,Pass (Live),Pass (Live),Marc Casado,64,Pedri,5,Girona,Left Foot
